"","sample","copy","area_season","season","study.area","domestication","DESCRIPTION","state","grass_cover_percent","grass_cover","elevation","biome","latitude","longitude","collection_time","life_stage","sex_known","sex","BCS_known","horse_BCS","fecal_freshness","stud_pile","ID","annforbandgrassbio","perforbandgrassbio","annforbandgrasscov","bareground","litter","perforbandgrasscov","shrub","tree"
"41","DP5",1,"DP","summer","DP","domestic","Domestic pasture, Laramie, WY, feces","WY",".",".",2242.34,"pasture",41.247307,-105.55006,"8/13/2020 13:56","Adult","y","mare","n","u",3,"n",41,51.5907487077183,486.257897018313,6.32186088569657,19.4043292020714,12.8839812997861,36.7853623749085,11.2419794633244,2.00598947530332
"42","FR10",1,"FR","summer","FR","wild","Frisco HMA, UT, feces","UT","9.3","low ",1803.01,"sagerush steppe",38.529947,-113.180084,"5/28/2020 8:16","Adult","n","u","n","u",3,"n",42,119.132333625749,98.4551949090521,15.3015019847136,14.2399104334382,14.9850916263989,7.08309625012722,11.2467248590829,13.8489097403636
"43","FR11",1,"FR","summer","FR","wild","Frisco HMA, UT, feces","UT","9.3","low ",1809.87,"sagerush steppe",38.565715,-113.188137,"5/28/2020 15:11","Adult","n","u","n","u",5,"y",43,132.509164525045,100.940653639141,16.0206953401542,15.0360956213936,16.6540803956747,6.89949085971973,9.48770789894778,15.7634097851913
"44","FR12",1,"FR","summer","FR","wild","Frisco HMA, UT, feces","UT","9.3","low ",1676.28,"sagerush steppe",38.559696,-113.128382,"5/28/2020 16:40","Adult","y","stallion","y","5",2,"y",44,251.939632176772,109.533760779102,30.1098862192389,15.0101898286014,17.3188237804701,7.52158730466666,10.1360955641993,4.44097562395119
"45","FR13",1,"FR","summer","FR","wild","Frisco HMA, UT, feces","UT","9.3","low ",1844.15,"sagerush steppe",38.538929,-113.193264,"5/28/2020 17:29","Adult","n","u","n","u",5,"y",45,102.443266074087,98.4745244087539,13.1320744652478,13.9098570922863,15.340835139683,6.96595818967398,10.5661317932081,17.255459055267
"46","FR14",1,"FR","summer","FR","wild","Frisco HMA, UT, feces","UT","9.3","low ",1846.3,"sagerush steppe",38.538943,-113.194024,"5/28/2020 17:34","Adult","n","u","n","u",4,"n",46,101.628078674547,98.5366485805639,13.0444288344153,13.8820366243581,15.3481203371766,6.96668927429513,10.5559635694216,17.3628475922876
"47","FR15",1,"FR","summer","FR","wild","Frisco HMA, UT, feces","UT","9.3","low ",1810.45,"sagerush steppe",38.544661,-113.186739,"5/29/2020 8:11","Adult","n","u","n","u",3,"n",47,113.829827526917,97.8060125831247,14.3583284495827,14.2033448444546,15.5773804046167,6.92763492470952,10.2583415267331,16.3696716666586
"48","FR16",1,"FR","summer","FR","wild","Frisco HMA, UT, feces","UT","9.3","low ",1833.79,"sagerush steppe",38.541681,-113.189665,"5/29/2020 8:26","Adult","n","u","y","5",1,"y",48,107.658204820972,97.9680752494652,13.6818100232365,14.078664603354,15.4343822917324,6.938852532975,10.4329803387002,16.8186435498033
"49","FR1",1,"FR","summer","FR","wild","Frisco HMA, UT, feces","UT","9.3","low ",1874.48,"sagerush steppe",38.536716,-113.20129,"5/29/2020 8:56","Adult","n","u","n","u",3,"n",49,92.7480801975347,99.6316259259439,12.1390553068046,13.5271197869419,15.3462823989405,7.03197811206892,10.6331734104327,18.3136396932197
"50","FR3",1,"FR","summer","FR","wild","Frisco HMA, UT, feces","UT","9.3","low ",1727.71,"sagerush steppe",38.582707,-113.167975,"5/28/2020 10:21","Adult","n","u","n","u",5,"n",50,201.406716959936,103.996063373394,23.3556570244332,15.9330725055926,18.3821578330638,6.94726469819196,8.6516787557742,10.5424797358151
"51","FR4",1,"FR","summer","FR","wild","Frisco HMA, UT, feces","UT","9.3","low ",1690.94,"sagerush steppe",38.57563,-113.151636,"5/28/2020 11:05","Adult","n","u","n","u",2,"n",51,227.962570498285,100.784750082369,26.6290578909627,15.9989873442254,18.2339961625676,6.85916332344904,9.03213365118127,7.62735721069054
"52","FR5",1,"FR","summer","FR","wild","Frisco HMA, UT, feces","UT","9.3","low ",1690.3,"sagerush steppe",38.575657,-113.15163,"5/28/2020 11:06","Adult","n","u","n","u",2,"n",52,228.040384121555,100.80608838478,26.6378753155388,16.0011192240047,18.236703764178,6.85998556152583,9.03094581696085,7.6217458925448
"53","FR6",1,"FR","summer","FR","wild","Frisco HMA, UT, feces","UT","9.3","low ",1690.5,"sagerush steppe",38.575672,-113.151623,"5/28/2020 11:07","Adult","n","u","n","u",2,"n",53,228.046190663043,100.817538403407,26.6385501896554,15.9997480949682,18.236882772118,6.86080793694623,9.03177394429992,7.62020472128162
"54","FR7",1,"FR","summer","FR","wild","Frisco HMA, UT, feces","UT","9.3","low ",1689.6,"sagerush steppe",38.575741,-113.151608,"5/28/2020 11:09","Adult","n","u","n","u",2,"n",54,228.24680572716,100.824604501296,26.6599752889018,16.0018509097076,18.2433946265475,6.86018363737675,9.02598057029338,7.61190978026504
"55","FR8",1,"FR","summer","FR","wild","Frisco HMA, UT, feces","UT","9.3","low ",1829.13,"sagerush steppe",38.505578,-113.177678,"5/28/2020 12:57","Adult","n","u","n","u",5,"y",55,133.050761051988,113.403493369292,17.280585170885,14.6566244021692,14.3768929288618,7.95181459240791,12.492661111165,10.510782782472
"56","FR9",1,"FR","summer","FR","wild","Frisco HMA, UT, feces","UT","9.3","low ",1970.31,"sagerush steppe",38.515958,-113.228675,"5/28/2020 13:36","Adult","n","u","n","u",5,"n",56,75.7837995140145,106.066209458771,10.6440132118208,12.5880812303872,15.1100112038568,7.46254468204812,10.675122102639,19.6548290563054
"57","GM10",1,"GM","summer","GM","wild","Green Mountain HMA, WY, feces ","WY","21.2","high",2248.62,"sagerush steppe",42.341876,-107.625571,"7/14/2020 14:16","Adult","n","u","n","u",4,"y",57,27.0996994217534,406.352066017247,4.50345481704132,7.22271198555758,15.6564198198363,28.2388589023396,18.357055799419,19.2909285851745
"58","GM11",1,"GM","summer","GM","wild","Green Mountain HMA, WY, feces ","WY","21.2","high",2294.57,"sagerush steppe",42.336999,-107.62826,"7/14/2020 14:35","Adult","n","u","n","u",4,"y",58,25.3530770923494,410.174571811047,4.26688458153011,6.88221136213599,15.6297449204137,28.191378456686,18.7476344164894,19.8676327660823
"59","GM12",1,"GM","summer","GM","wild","Green Mountain HMA, WY, feces ","WY","21.2","high",2345.55,"sagerush steppe",42.332714,-107.639668,"7/14/2020 14:45","Adult","n","u","n","u",4,"y",59,21.40260691942,406.352996674941,3.81183647672001,6.53502303725348,15.6526458491724,27.6548396552198,18.9589451411089,21.4159437945975
