sample,copy,area_season,season,enviro,study.area,domestication,DESCRIPTION,state,grass_cover_percent,grass_cover,elevation,biome,latitude,longitude,collection_time,life_stage,sex_known,sex,BCS_known,horse_BCS,fecal_freshness,stud_pile
FR16,1,FR,summer,salt_desert ,FR,wild,"Frisco HMA, UT, feces",UT,9.3,low ,1833.79,sagerush steppe,38.541681,-113.189665,5/29/2020 8:26,Adult,n,u,y,5,1,y
FR1,1,FR,summer,salt_desert ,FR,wild,"Frisco HMA, UT, feces",UT,9.3,low ,1874.48,sagerush steppe,38.536716,-113.20129,5/29/2020 8:56,Adult,n,u,n,u,3,n
FR3,1,FR,summer,salt_desert ,FR,wild,"Frisco HMA, UT, feces",UT,9.3,low ,1727.71,sagerush steppe,38.582707,-113.167975,5/28/2020 10:21,Adult,n,u,n,u,5,n
FR4,1,FR,summer,salt_desert ,FR,wild,"Frisco HMA, UT, feces",UT,9.3,low ,1690.94,sagerush steppe,38.57563,-113.151636,5/28/2020 11:05,Adult,n,u,n,u,2,n
FR5,1,FR,summer,salt_desert ,FR,wild,"Frisco HMA, UT, feces",UT,9.3,low ,1690.3,sagerush steppe,38.575657,-113.15163,5/28/2020 11:06,Adult,n,u,n,u,2,n
FR6,1,FR,summer,salt_desert ,FR,wild,"Frisco HMA, UT, feces",UT,9.3,low ,1690.5,sagerush steppe,38.575672,-113.151623,5/28/2020 11:07,Adult,n,u,n,u,2,n
FR7,1,FR,summer,salt_desert ,FR,wild,"Frisco HMA, UT, feces",UT,9.3,low ,1689.6,sagerush steppe,38.575741,-113.151608,5/28/2020 11:09,Adult,n,u,n,u,2,n
FR8,1,FR,summer,salt_desert ,FR,wild,"Frisco HMA, UT, feces",UT,9.3,low ,1829.13,sagerush steppe,38.505578,-113.177678,5/28/2020 12:57,Adult,n,u,n,u,5,y
FR9,1,FR,summer,salt_desert ,FR,wild,"Frisco HMA, UT, feces",UT,9.3,low ,1970.31,sagerush steppe,38.515958,-113.228675,5/28/2020 13:36,Adult,n,u,n,u,5,n
GM10,1,GM,summer,wy_basin,GM,wild,"Green Mountain HMA, WY, feces ",WY,21.2,high,2248.62,sagerush steppe,42.341876,-107.625571,7/14/2020 14:16,Adult,n,u,n,u,4,y
GM11,1,GM,summer,wy_basin,GM,wild,"Green Mountain HMA, WY, feces ",WY,21.2,high,2294.57,sagerush steppe,42.336999,-107.62826,7/14/2020 14:35,Adult,n,u,n,u,4,y
GM12,1,GM,summer,wy_basin,GM,wild,"Green Mountain HMA, WY, feces ",WY,21.2,high,2345.55,sagerush steppe,42.332714,-107.639668,7/14/2020 14:45,Adult,n,u,n,u,4,y
GM13,1,GM,summer,wy_basin,GM,wild,"Green Mountain HMA, WY, feces ",WY,21.2,high,2544.22,sagerush steppe,42.309429,-107.649136,7/14/2020 15:40,Adult,n,u,n,u,5,n
