"","OBJECTID","HMA_NAME","HMA_ID","ADMIN_ST","ADM_UNIT_C","ADMIN_AGCY","HERD_TYPE","GIS_ACRES","ROD_DT","BLM_ACRES","LUP_ID","GlobalID","created_da","last_edite","Original_G","SHAPE_Leng","SHAPE_Area","ID","annforbandgrassbio","perforbandgrassbio","annforbandgrasscov","bareground","litter","perforbandgrasscov","shrub","tree"
"22",22,"Red Rock Lakes","CA0251","CA","CAN02000","BLM","HORSE",18551.1357855,2008-04-17,13413,"LUPA000402","{A1A99D88-6663-4EA7-B324-01591DA98BCC}",2015-12-30,2015-12-30,"{A7CC61C2-DA6A-45F9-A8E6-FBEAD748CD77}",0.504772179603,0.00813972187754,22,52.6435008387166,348.722991541454,5.61647453513687,13.1144045112245,14.7643652521503,14.1722759556016,12.0498054891324,23.0206377815054
"23",23,"Black Mountain","ID0006","ID","IDB03000","BLM","HORSE",50960.5113784,1999-12-30,50922,"LUPA001021","{F88A46A5-BE2B-4DE0-8836-F59EA7ED670F}",2015-12-30,2015-12-30,"{22AEE543-07CB-4DFC-A240-79E6F52E5CCE}",0.91077554133,0.0228456611275,23,339.660825201055,415.405283066849,24.4693410470771,14.0099621729871,14.5850821704441,22.4984773832608,11.7024762389141,0.460869703423504
"24",24,"Challis","ID0005","ID","IDI03000","BLM","HORSE",167636.178389,1999-07-29,177813,"LUPA001020","{931BD164-19B5-4C8D-8E9A-347104EFFB7C}",2015-12-30,2015-12-30,"{F24293D7-A03A-4646-A68B-BA53F6299B48}",1.46403258508,0.0765166899007,24,3.10928278132243,346.584059297114,2.25875854973034,18.0811529108474,12.4202385856473,28.4551361027847,16.6749251572315,3.28509067507513
"25",25,"Saylor Creek","ID0003","ID","IDT01000","BLM","HORSE",101851.220596,1987-03-23,101893,"LUPA001017","{84F04632-5AF7-4F22-98F7-A64F0B90447B}",2015-12-30,2015-12-30,"{4FD36AC6-BA3F-4395-A602-D935352CA248}",1.29129400179,0.045353338587,25,310.427779583433,443.114828981349,22.2161449035433,17.0451758859139,23.1623072107541,28.3343105217738,6.20114764938415,0.0131368069153561
"26",26,"Four Mile","ID0002","ID","IDB01000","BLM","HORSE",18050.4632705,1988-07-01,28292,"LUPA001019","{2FD0154B-9235-47E6-A0CC-C41D8F0CDBED}",2015-12-30,2015-12-30,"{A9FF0902-CD46-458F-9C5F-F7F53DA27164}",0.398459719516,0.00821624198634,26,426.5326701154,837.219463235619,32.8831233143211,5.27248529866914,10.0762523765309,34.6738205774417,10.1485608170845,0.747110580536764
"27",27,"Sands Basin","ID0004","ID","IDB03000","BLM","HORSE",11741.0360899,1999-12-30,11723,"LUPA001021","{D7B44CDB-29AA-451E-B2FA-8221A0B17C59}",2015-12-30,2015-12-30,"{2D3C221F-2184-4D36-AEAB-A25C7462AD34}",0.284077405514,0.00527647284529,27,309.0802572861,695.194286816153,29.4837749986227,7.68233155198061,12.710566910914,37.6529530053441,6.90029474960057,0.23205333039502
"28",28,"Hardtrigger","ID0007","ID","IDB03000","BLM","HORSE",67907.0543864,1999-12-30,69397,"LUPA001021","{A4AE10B9-7316-4A43-8576-E14177640DFF}",2015-12-30,2015-12-30,"{FA91265D-FFB3-434C-8DF9-44DF24ECBD17}",1.01430900886,0.0304838148808,28,341.386301591763,611.24086081956,29.952490078278,10.6084457318729,13.6314121957378,30.2758715154865,7.07877585245816,0.38442682700233
"29",29,"Bordo Atravesado","NM0001","NM","NMA02000","BLM","HORSE",19619.1202812,1976-06-24,16492,"LUPA001406","{0DBAE326-D7E0-48B3-BBD3-247783616C2A}",2015-12-30,2015-12-30,"{ABA08253-7D2C-4EB4-A3CF-E30623616633}",0.400434897774,0.00775719717333,29,7.46904105995015,241.464187327824,1.6399617698319,27.3664567755477,12.1182886377692,12.5528569554544,13.0047694008733,6.79822342160004
"30",30,"Palmetto","NV0624","NV","NVB02000","BLM","HORSE",119262.309424,1997-10-06,119262.309424,"LUPA001612","{4A860E5B-5A02-4D9D-83E5-D47EEBFE8218}",2015-12-30,2015-12-30,"{F09E635E-FA26-49CF-86E6-89159751A9F1}",0.988067700524,0.0488137492631,30,84.2877327468969,39.6950178698433,7.47689865224779,18.8415803428748,11.8296011498597,6.11338497385736,16.4063596406391,7.43555399489943
"31",31,"Rocky Hills","NV0605","NV","NVB01000","BLM","HORSE",84432.3132006,1986-02-26,84432.3132006,"LUPA001610","{C5A09EED-0C8F-459F-B06C-24D2177D8FA0}",2015-12-30,2015-12-30,"{CDA8BEB7-49C1-4128-A78D-8F17DF29F73E}",0.819931696273,0.0358729953589,31,46.3845738058364,131.204797910783,7.5720891156256,21.4395473363497,18.0511412751916,14.1205348557084,23.2799732774589,5.12121101697489
