sample_name,sample,copy,area_season,season,study.area,domestication,DESCRIPTION,state,grass_cover_percent,grass_cover,elevation,biome,latitude,longitude,collection_time,life_stage,sex_known,sex,BCS_known,horse_BCS,fecal_freshness,stud_pile,Other_notes
CN16_1,CN16,1,CN,summer,CN,wild,"Conger HMA, UT, feces ",UT,10.1,medium,1588.82,sagerush steppe,39.318575,-113.645756,5/31/2020 8:17,Adult,n,u,n,u,1,n,
CN16_2,CN16,2,CN,summer,CN,wild,"Conger HMA, UT, feces ",UT,10.1,medium,1588.82,sagerush steppe,39.318575,-113.645756,5/31/2020 8:17,Adult,n,u,n,u,1,n,
CN17_1,CN17,1,CN,summer,CN,wild,"Conger HMA, UT, feces ",UT,10.1,medium,1589.9,sagerush steppe,39.318178,-113.64589,5/31/2020 8:21,Adult,n,u,n,u,1,n,
CN17_2,CN17,2,CN,summer,CN,wild,"Conger HMA, UT, feces ",UT,10.1,medium,1589.9,sagerush steppe,39.318178,-113.64589,5/31/2020 8:21,Adult,n,u,n,u,1,n,
CN18_1,CN18,1,CN,summer,CN,wild,"Conger HMA, UT, feces ",UT,10.1,medium,1592.12,sagerush steppe,39.317847,-113.646065,5/31/2020 8:25,Adult,n,u,n,u,1,n,
CN18_2,CN18,2,CN,summer,CN,wild,"Conger HMA, UT, feces ",UT,10.1,medium,1592.12,sagerush steppe,39.317847,-113.646065,5/31/2020 8:25,Adult,n,u,n,u,1,n,
CN1_1,CN1,1,CN,summer,CN,wild,"Conger HMA, UT, feces ",UT,10.1,medium,1940.78,sagerush steppe,39.169562,-113.669106,5/31/2020 11:49,Adult,n,u,n,u,1,n,
CN1_2,CN1,2,CN,summer,CN,wild,"Conger HMA, UT, feces ",UT,10.1,medium,1940.78,sagerush steppe,39.169562,-113.669106,5/31/2020 11:49,Adult,n,u,n,u,1,n,
CN2_1,CN2,1,CN,summer,CN,wild,"Conger HMA, UT, feces ",UT,10.1,medium,2004.83,sagerush steppe,39.186258,-113.722622,5/29/2020 15:22,Adult,n,u,n,u,5,y,
CN2_2,CN2,2,CN,summer,CN,wild,"Conger HMA, UT, feces ",UT,10.1,medium,2004.83,sagerush steppe,39.186258,-113.722622,5/29/2020 15:22,Adult,n,u,n,u,5,y,
CN3_1,CN3,1,CN,summer,CN,wild,"Conger HMA, UT, feces ",UT,10.1,medium,1999.29,sagerush steppe,39.18555,-113.72341,5/29/2020 15:40,Adult,n,u,n,u,5,n,
CN3_2,CN3,2,CN,summer,CN,wild,"Conger HMA, UT, feces ",UT,10.1,medium,1999.29,sagerush steppe,39.18555,-113.72341,5/29/2020 15:40,Adult,n,u,n,u,5,n,
CN4_1,CN4,1,CN,summer,CN,wild,"Conger HMA, UT, feces ",UT,10.1,medium,1872.09,sagerush steppe,39.166267,-113.745044,5/29/2020 16:04,Adult,n,u,n,u,5,n,
CN4_2,CN4,2,CN,summer,CN,wild,"Conger HMA, UT, feces ",UT,10.1,medium,1872.09,sagerush steppe,39.166267,-113.745044,5/29/2020 16:04,Adult,n,u,n,u,5,n,
CN8_1,CN8,1,CN,summer,CN,wild,"Conger HMA, UT, feces ",UT,10.1,medium,1732.2,sagerush steppe,39.303267,-113.676431,5/30/2020 18:23,Adult,n,u,n,u,5,n,
CN8_2,CN8,2,CN,summer,CN,wild,"Conger HMA, UT, feces ",UT,10.1,medium,1732.2,sagerush steppe,39.303267,-113.676431,5/30/2020 18:23,Adult,n,u,n,u,5,n,
CN9_1,CN9,1,CN,summer,CN,wild,"Conger HMA, UT, feces ",UT,10.1,medium,1901.16,sagerush steppe,39.275834,-113.672399,5/30/2020 19:53,Adult,n,u,n,u,3,n,
CN9_2,CN9,2,CN,summer,CN,wild,"Conger HMA, UT, feces ",UT,10.1,medium,1901.16,sagerush steppe,39.275834,-113.672399,5/30/2020 19:53,Adult,n,u,n,u,3,n,
DG1_1,DG1,1,DG,summer,DG,domestic,"Domestic grain, Laramie WY, feces",WY,.,.,2197.98,pasture,41.320185,-105.636467,8/13/2020 9:05,Adult,y,mare,y,3,3,n,truth
DG1_2,DG1,2,DG,summer,DG,domestic,"Domestic grain, Laramie WY, feces",WY,.,.,2197.98,pasture,41.320185,-105.636467,8/13/2020 9:05,Adult,y,mare,y,3,3,n,truth
DG2_1,DG2,1,DG,summer,DG,domestic,"Domestic grain, Laramie WY, feces",WY,.,.,2205.75,pasture,41.32077,-105.636979,8/13/2020 10:12,Adult,y,mare,y,5,1,n,canary
DG2_2,DG2,2,DG,summer,DG,domestic,"Domestic grain, Laramie WY, feces",WY,.,.,2205.75,pasture,41.32077,-105.636979,8/13/2020 10:12,Adult,y,mare,y,5,1,n,canary
DG3_1,DG3,1,DG,summer,DG,domestic,"Domestic grain, Laramie WY, feces",WY,.,.,2203.32,pasture,41.32063,-105.637009,8/13/2020 10:19,Adult,y,mare,y,5,1,n,inca
DG3_2,DG3,2,DG,summer,DG,domestic,"Domestic grain, Laramie WY, feces",WY,.,.,2203.32,pasture,41.32063,-105.637009,8/13/2020 10:19,Adult,y,mare,y,5,1,n,inca
DG4_1,DG4,1,DG,summer,DG,domestic,"Domestic grain, Laramie WY, feces",WY,.,.,2205.83,pasture,41.320667,-105.637001,8/13/2020 10:27,Adult,y,mare,y,5,1,n,skye
DG4_2,DG4,2,DG,summer,DG,domestic,"Domestic grain, Laramie WY, feces",WY,.,.,2205.83,pasture,41.320667,-105.637001,8/13/2020 10:27,Adult,y,mare,y,5,1,n,skye
DG5_1,DG5,1,DG,summer,DG,domestic,"Domestic grain, Laramie WY, feces",WY,.,.,2205.41,pasture,41.320781,-105.636906,8/13/2020 10:36,Adult,y,mare,y,5,1,n,maati
DG5_2,DG5,2,DG,summer,DG,domestic,"Domestic grain, Laramie WY, feces",WY,.,.,2205.41,pasture,41.320781,-105.636906,8/13/2020 10:36,Adult,y,mare,y,5,1,n,maati
DG6_1,DG6,1,DG,summer,DG,domestic,"Domestic grain, Laramie WY, feces",WY,.,.,2205.14,pasture,41.320751,-105.636622,8/13/2020 10:43,Adult,y,mare,y,5,2,n,"kahlo, easly, or paig's horse"
DG6_2,DG6,2,DG,summer,DG,domestic,"Domestic grain, Laramie WY, feces",WY,.,.,2205.14,pasture,41.320751,-105.636622,8/13/2020 10:43,Adult,y,mare,y,5,2,n,"kahlo, easly, or paig's horse"
DP1_1,DP1,1,DP,summer,DP,domestic,"Domestic pasture, Laramie, WY, feces",WY,.,.,2244.92,pasture,41.246952,-105.550465,8/13/2020 13:32,Adult,y,mare,n,u,3,n,
DP1_2,DP1,2,DP,summer,DP,domestic,"Domestic pasture, Laramie, WY, feces",WY,.,.,2244.92,pasture,41.246952,-105.550465,8/13/2020 13:32,Adult,y,mare,n,u,3,n,
DP2_1,DP2,1,DP,summer,DP,domestic,"Domestic pasture, Laramie, WY, feces",WY,.,.,2246.31,pasture,41.246811,-105.550195,8/13/2020 13:35,Adult,y,mare,n,u,1,n,
DP2_2,DP2,2,DP,summer,DP,domestic,"Domestic pasture, Laramie, WY, feces",WY,.,.,2246.31,pasture,41.246811,-105.550195,8/13/2020 13:35,Adult,y,mare,n,u,1,n,
DP3_1,DP3,1,DP,summer,DP,domestic,"Domestic pasture, Laramie, WY, feces",WY,.,.,2245.05,pasture,41.24636,-105.549145,8/13/2020 13:42,Adult,y,mare,n,u,1,n,
DP3_2,DP3,2,DP,summer,DP,domestic,"Domestic pasture, Laramie, WY, feces",WY,.,.,2245.05,pasture,41.24636,-105.549145,8/13/2020 13:42,Adult,y,mare,n,u,1,n,
DP4_1,DP4,1,DP,summer,DP,domestic,"Domestic pasture, Laramie, WY, feces",WY,.,.,2241.68,pasture,41.24598,-105.547854,8/13/2020 13:48,Adult,y,mare,n,u,4,n,
DP4_2,DP4,2,DP,summer,DP,domestic,"Domestic pasture, Laramie, WY, feces",WY,.,.,2241.68,pasture,41.24598,-105.547854,8/13/2020 13:48,Adult,y,mare,n,u,4,n,
DP5_1,DP5,1,DP,summer,DP,domestic,"Domestic pasture, Laramie, WY, feces",WY,.,.,2242.34,pasture,41.247307,-105.55006,8/13/2020 13:56,Adult,y,mare,n,u,3,n,
DP5_2,DP5,2,DP,summer,DP,domestic,"Domestic pasture, Laramie, WY, feces",WY,.,.,2242.34,pasture,41.247307,-105.55006,8/13/2020 13:56,Adult,y,mare,n,u,3,n,
FR10_1,FR10,1,FR,summer,FR,wild,"Frisco HMA, UT, feces",UT,9.3,low ,1803.01,sagerush steppe,38.529947,-113.180084,5/28/2020 8:16,Adult,n,u,n,u,3,n,
